"filename", "language", "HTML", "PostCSS", "Markdown", "XML", "Pug", "SCSS", "comment", "blank", "total"
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 34, 0, 7, 41
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_reset.scss", "SCSS", 0, 0, 0, 0, 0, 85, 12, 16, 113
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 65, 10, 10, 85
"/Users/darrellparkhouse/development/untitled-ui-kit/scss/partials/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 198, 22, 26, 246
"/Users/darrellparkhouse/development/untitled-ui-kit/settings.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/solutions.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/darrellparkhouse/development/untitled-ui-kit/tables.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/darrellparkhouse/development/untitled-ui-kit/terms.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/darrellparkhouse/development/untitled-ui-kit/test.html", "HTML", 16, 0, 0, 0, 0, 0, 0, 0, 16
"/Users/darrellparkhouse/development/untitled-ui-kit/tutorials.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 877, 1244, 110, 131, 237, 609, 79, 593, 3880
